spread,stock,spot_cat,mean_3d_MYR,direction,n,snr_unfiltered,snr_z_filtered,regime_consistent,confidence
M1-M2,Low,Large down,-7.91,COMPRESS,105,0.147,0.545,True,HIGH
M1-M2,Low,Small down,0.45,FLAT,86,0.006,0.095,False,LOW
M1-M2,Low,Flat,5.8,WIDEN,111,0.077,0.189,,MEDIUM
M1-M2,Low,Small up,-5.86,COMPRESS,107,0.093,0.205,True,HIGH
M1-M2,Low,Large up,2.05,WIDEN,117,0.031,0.262,,MEDIUM
M1-M2,Mid,Large down,-1.56,COMPRESS,97,0.033,0.402,False,MEDIUM
M1-M2,Mid,Small down,-7.06,COMPRESS,142,0.191,0.642,True,HIGH
M1-M2,Mid,Flat,3.1,WIDEN,195,0.093,0.004,True,HIGH
M1-M2,Mid,Small up,4.03,WIDEN,152,0.123,0.217,False,LOW
M1-M2,Mid,Large up,-6.9,COMPRESS,112,0.153,0.675,False,MEDIUM
M1-M2,High,Large down,7.06,WIDEN,79,0.168,0.359,True,HIGH
M1-M2,High,Small down,0.73,FLAT,147,0.018,0.325,False,MEDIUM
M1-M2,High,Flat,3.96,WIDEN,185,0.117,0.346,True,HIGH
M1-M2,High,Small up,0.14,FLAT,137,0.004,0.307,False,MEDIUM
M1-M2,High,Large up,-3.28,COMPRESS,95,0.107,0.001,True,HIGH
M2-M3,Low,Large down,-7.03,COMPRESS,105,0.179,0.153,True,HIGH
M2-M3,Low,Small down,-0.74,FLAT,86,0.021,0.176,False,LOW
M2-M3,Low,Flat,-3.3,COMPRESS,111,0.095,0.29,,MEDIUM
M2-M3,Low,Small up,-3.0,COMPRESS,107,0.075,0.451,True,HIGH
M2-M3,Low,Large up,4.84,WIDEN,117,0.124,0.055,,MEDIUM
M2-M3,Mid,Large down,-6.22,COMPRESS,97,0.248,0.565,True,HIGH
M2-M3,Mid,Small down,-1.24,COMPRESS,142,0.076,0.705,False,MEDIUM
M2-M3,Mid,Flat,-0.27,FLAT,195,0.014,0.369,False,MEDIUM
M2-M3,Mid,Small up,3.13,WIDEN,152,0.184,0.326,True,HIGH
M2-M3,Mid,Large up,2.34,WIDEN,112,0.1,0.214,False,LOW
M2-M3,High,Large down,1.66,WIDEN,79,0.08,0.026,,MEDIUM
M2-M3,High,Small down,0.44,FLAT,147,0.036,0.031,,MEDIUM
M2-M3,High,Flat,2.36,WIDEN,185,0.157,0.19,True,HIGH
M2-M3,High,Small up,1.5,WIDEN,137,0.105,0.168,,MEDIUM
M2-M3,High,Large up,0.62,FLAT,95,0.047,0.187,False,LOW
M3-M4,Low,Large down,-5.01,COMPRESS,105,0.18,0.162,True,HIGH
M3-M4,Low,Small down,0.5,FLAT,86,0.022,0.094,False,LOW
M3-M4,Low,Flat,-1.23,COMPRESS,111,0.047,0.207,,MEDIUM
M3-M4,Low,Small up,-0.46,FLAT,107,0.018,0.308,,HIGH
M3-M4,Low,Large up,-0.94,FLAT,117,0.039,0.166,,MEDIUM
M3-M4,Mid,Large down,-5.26,COMPRESS,97,0.245,0.152,True,HIGH
M3-M4,Mid,Small down,0.29,FLAT,142,0.021,0.191,False,LOW
M3-M4,Mid,Flat,-0.56,FLAT,195,0.04,0.166,False,LOW
M3-M4,Mid,Small up,0.88,FLAT,152,0.078,0.135,,MEDIUM
M3-M4,Mid,Large up,2.19,WIDEN,112,0.117,0.282,,MEDIUM
M3-M4,High,Large down,1.91,WIDEN,79,0.145,0.133,True,HIGH
M3-M4,High,Small down,1.06,WIDEN,147,0.099,0.252,False,LOW
M3-M4,High,Flat,1.88,WIDEN,185,0.157,0.06,True,HIGH
M3-M4,High,Small up,1.57,WIDEN,137,0.127,0.255,,MEDIUM
M3-M4,High,Large up,0.16,FLAT,95,0.013,0.116,,MEDIUM
M4-M5,Low,Large down,-4.71,COMPRESS,105,0.237,0.545,True,HIGH
M4-M5,Low,Small down,-0.62,FLAT,86,0.042,0.179,,MEDIUM
M4-M5,Low,Flat,0.93,FLAT,111,0.054,0.223,,MEDIUM
M4-M5,Low,Small up,0.79,FLAT,107,0.038,0.207,,MEDIUM
M4-M5,Low,Large up,-3.32,COMPRESS,117,0.149,0.325,,HIGH
M4-M5,Mid,Large down,-3.82,COMPRESS,97,0.225,0.328,True,HIGH
M4-M5,Mid,Small down,-0.11,FLAT,142,0.01,0.015,False,LOW
M4-M5,Mid,Flat,-0.62,FLAT,195,0.045,0.207,,MEDIUM
M4-M5,Mid,Small up,1.33,WIDEN,152,0.137,0.142,True,HIGH
M4-M5,Mid,Large up,1.01,WIDEN,112,0.067,0.163,False,LOW
M4-M5,High,Large down,0.42,FLAT,79,0.04,0.11,,MEDIUM
M4-M5,High,Small down,0.64,FLAT,147,0.064,0.528,,HIGH
M4-M5,High,Flat,1.74,WIDEN,185,0.164,0.131,,MEDIUM
M4-M5,High,Small up,1.23,WIDEN,137,0.114,0.132,True,HIGH
M4-M5,High,Large up,2.09,WIDEN,95,0.18,0.305,,HIGH
M5-M6,Low,Large down,-3.32,COMPRESS,105,0.242,,True,HIGH
M5-M6,Low,Small down,-0.94,FLAT,86,0.064,,,MEDIUM
M5-M6,Low,Flat,1.23,WIDEN,111,0.092,,,MEDIUM
M5-M6,Low,Small up,1.46,WIDEN,107,0.083,,False,LOW
M5-M6,Low,Large up,-3.94,COMPRESS,117,0.187,,,MEDIUM
M5-M6,Mid,Large down,-3.28,COMPRESS,97,0.231,,True,HIGH
M5-M6,Mid,Small down,-0.43,FLAT,142,0.039,,False,LOW
M5-M6,Mid,Flat,-0.88,FLAT,195,0.064,,True,HIGH
M5-M6,Mid,Small up,0.51,FLAT,152,0.05,,,MEDIUM
M5-M6,Mid,Large up,1.71,WIDEN,112,0.126,,True,HIGH
M5-M6,High,Large down,1.75,WIDEN,79,0.176,,,MEDIUM
M5-M6,High,Small down,0.27,FLAT,147,0.031,,,MEDIUM
M5-M6,High,Flat,1.23,WIDEN,185,0.121,,,MEDIUM
M5-M6,High,Small up,1.25,WIDEN,137,0.136,,,MEDIUM
M5-M6,High,Large up,1.77,WIDEN,95,0.147,,,MEDIUM
