shape,pair,threshold,mean,std,snr,n
0.0,M1-M2,1.0,-12.09,53.75,0.225,454
0.0,M1-M2,1.5,-20.19,56.53,0.357,264
0.0,M1-M2,2.0,-32.01,61.69,0.519,143
0.0,M1-M2,2.5,-34.15,57.76,0.591,53
0.0,M2-M3,1.0,-4.69,36.82,0.127,436
0.0,M2-M3,1.5,-10.84,39.85,0.272,273
0.0,M2-M3,2.0,-15.74,43.95,0.358,144
0.0,M2-M3,2.5,-22.33,47.02,0.475,76
0.0,M3-M4,1.0,-2.85,24.19,0.118,394
0.0,M3-M4,1.5,-4.07,26.71,0.152,213
0.0,M3-M4,2.0,-9.28,30.53,0.304,102
0.0,M3-M4,2.5,-11.96,33.28,0.359,45
0.0,M4-M5,1.0,-1.02,22.37,0.046,255
0.0,M4-M5,1.5,-3.46,22.67,0.153,151
0.0,M4-M5,2.0,-3.99,24.69,0.161,76
0.0,M4-M5,2.5,-1.76,15.94,0.11,33
1,M1-M2,1.0,3.54,39.27,0.09,188
1,M1-M2,1.5,8.53,43.62,0.195,91
1,M1-M2,2.0,25.91,42.81,0.605,44
1,M1-M2,2.5,37.75,37.14,1.016,20
1,M2-M3,1.0,2.56,15.66,0.163,216
1,M2-M3,1.5,1.94,17.13,0.113,125
1,M2-M3,2.0,3.38,20.4,0.166,66
1,M2-M3,2.5,7.21,17.93,0.402,28
1,M3-M4,1.0,2.24,13.53,0.166,276
1,M3-M4,1.5,3.25,15.63,0.208,160
1,M3-M4,2.0,3.34,18.17,0.184,82
1,M3-M4,2.5,11.79,22.41,0.526,29
1,M4-M5,1.0,3.73,11.02,0.339,186
1,M4-M5,1.5,2.76,12.45,0.222,87
1,M4-M5,2.0,3.05,14.86,0.205,40
1,M4-M5,2.5,5.25,9.27,0.566,12
